CountyName,HUC_8,area_ha_piece,county_area_ha,frac_of_county
Bremer,07080102,61675.669232059874,113708.83565798872,0.5423999716043771
Bremer,07080201,45040.904397105194,113708.83565798872,0.3961073397372423
Bremer,07080202,6703.740125292622,113708.83565798872,0.05895531412753187
Bremer,07080204,288.521903531234,113708.83565798872,0.002537374530850397
Buchanan,07060006,15018.644006094888,148363.14636477447,0.10122893976088344
Buchanan,07080102,99085.32052958988,148363.14636477447,0.6678566945862203
Buchanan,07080205,34259.18182908969,148363.14636477447,0.23091436565289622
Buena Vista,07100004,58.18423936243138,150295.7941564788,0.0003871315208052562
Buena Vista,07100006,94159.81627100208,150295.7941564788,0.6264966814238903
Buena Vista,10230003,29293.96924716332,150295.7941564788,0.1949087758015652
Buena Vista,10230005,21142.48316313385,150295.7941564788,0.14067248708983557
Buena Vista,10230007,5641.341235817016,150295.7941564788,0.037534924163903055
Butler,07080201,1343.8634154151625,150606.13422903258,0.00892303240033701
Butler,07080202,52036.445006960595,150606.13422903258,0.34551344985607796
Butler,07080204,64891.44038319664,150606.13422903258,0.43086850821437134
Butler,07080205,32334.385423459964,150606.13422903258,0.21469500952921222
Calhoun,07100004,2571.020867280216,148134.0959844133,0.017356037110799524
Calhoun,07100006,145563.07511713306,148134.0959844133,0.9826439628892004
Carroll,07100006,26617.80233924344,147617.0625416881,0.18031656964943593
Carroll,07100007,89220.14895933006,147617.0625416881,0.6044026850495936
Carroll,10230007,9019.926000275918,147617.0625416881,0.06110354619560749
Carroll,10240002,16829.58065787369,147617.0625416881,0.11400836981917925
Carroll,10240003,5929.604584964965,147617.0625416881,0.040168829286183656
Cass,10240003,84381.71837140476,146342.04540639333,0.5766061157412136
Cass,10240005,962.1389287150724,146342.04540639333,0.00657458986611266
Cass,10240009,60998.18810627318,146342.04540639333,0.4168192943926716
Cedar,07080103,37431.52195090934,150665.17223961675,0.2484417692190902
Cedar,07080206,113233.65028870736,150665.17223961675,0.7515582307809094
Cerro Gordo,07080202,27366.524309646527,148786.82073953174,0.18393110474182886
Cerro Gordo,07080203,64113.41006552964,148786.82073953174,0.43090785693826644
Cerro Gordo,07080204,53829.54826107831,148786.82073953174,0.3617897606355408
Cerro Gordo,07080207,3477.3381032771968,148786.82073953174,0.023371277684363406
Cherokee,10230002,1610.8356722712413,149486.03914211775,0.010775826836510164
Cherokee,10230003,95274.95857907167,149486.03914211775,0.6373502109350352
Cherokee,10230004,24793.41966198587,149486.03914211775,0.16585776039202255
Cherokee,10230005,27806.82522878907,149486.03914211775,0.1860162018364328
Chickasaw,07060004,31708.87504488143,130932.68624744713,0.24217692276591232
Chickasaw,07080102,78244.29344916387,130932.68624744713,0.5975917526147101
Chickasaw,07080201,20979.517753401768,130932.68624744713,0.16023132461937722
Clarke,07100008,77602.43429610669,111725.52203299168,0.6945810848231373
Clarke,10280102,27836.721828853817,111725.52203299168,0.24915275688426722
Clarke,10280201,6286.365908031308,111725.52203299168,0.05626615829259669
Clay,07100002,668.7689977001784,148294.39707555334,0.004509738809345929
Clay,07100004,5506.173037835661,148294.39707555334,0.03713001398852826
Clay,07100006,442.1121493659531,148294.39707555334,0.002981313913975488
Clay,10230003,141677.34289065143,148294.39707555334,0.9553789332881495
Clayton,07060001,17059.28248150435,205807.7622163849,0.08288940270177145
Clayton,07060003,35727.424862923406,205807.7622163849,0.17359609996322603
Clayton,07060004,145478.2666015396,205807.7622163849,0.7068648190663709
Clayton,07060006,7489.389168961933,205807.7622163849,0.036390217202243516
Clinton,07060005,20085.06298025048,183951.497212231,0.10918673283250133
Clinton,07060006,40198.55128487917,183951.497212231,0.21852799185700975
Clinton,07080101,22566.45357065384,183951.497212231,0.12267610708608784
Clinton,07080103,101101.42937644775,183951.497212231,0.5496091682244023
Crawford,10230001,37445.04887198429,185240.82750172238,0.2021425264451279
Crawford,10230005,46.49603698419681,185240.82750172238,0.000251003181162989
Crawford,10230006,561.7795144633333,185240.82750172238,0.0030326981478103676
Crawford,10230007,117771.75623682406,185240.82750172238,0.6357764528758058
Crawford,10240002,29415.746841466487,185240.82750172238,0.15879731935009295
Dallas,07100004,35052.81056877597,153129.26130969208,0.22890994359258593
Dallas,07100006,65020.11988578862,153129.26130969208,0.42460937465302895
Dallas,07100007,52412.71610854171,153129.26130969208,0.3422776003767239
Dallas,07100008,643.6147465860737,153129.26130969208,0.004203081377663101
Davis,07100009,52945.61023072339,130635.51056495009,0.4052926344586803
Davis,07110001,53384.898427399916,130635.51056495009,0.4086553357240313
Davis,07110002,23949.590449538155,130635.51056495009,0.18333139546793262
Davis,10280201,355.41145728857725,130635.51056495009,0.0027206343493553524
Decatur,10280101,9833.310890936054,138135.8611395343,0.07118579353556274
Decatur,10280102,125373.73068748009,138135.8611395343,0.9076117501510857
Decatur,10280201,2928.8195611181845,138135.8611395343,0.02120245631335164
Delaware,07060004,12592.990022640763,149905.1813170357,0.08400636930625997
Delaware,07060006,124182.13199758276,149905.1813170357,0.8284045348302469
Delaware,07080102,13130.059296812446,149905.1813170357,0.08758909586349505
Des Moines,07080104,85896.19060699065,111254.09160563805,0.7720721940858278
Des Moines,07080107,19224.585702227665,111254.09160563805,0.17279890945829643
Des Moines,07080209,6133.315296419761,111254.09160563805,0.05512889645587597
Dickinson,07100002,7311.447987782474,104593.88329932038,0.06990320807631761
Dickinson,10230003,97282.43531153789,104593.88329932038,0.9300967919236822
Dubuque,07060003,49210.59311228524,159709.732675692,0.3081251986828674
Dubuque,07060004,3038.351655444915,159709.732675692,0.019024211014206746
Dubuque,07060005,28540.905425462686,159709.732675692,0.17870486004392794
Dubuque,07060006,78919.88248249925,159709.732675692,0.49414573025899844
Emmet,07020009,3184.1942782861124,104227.39184074846,0.03055045532705375
Emmet,07100002,59251.87400945877,104227.39184074846,0.5684865846013986
Emmet,07100003,37871.41272535876,104227.39184074846,0.3633537408594413
Emmet,10230003,3919.910827644731,104227.39184074846,0.037609219212105555
Fayette,07060004,130827.25444208959,189305.48178291097,0.6910906816323353
Fayette,07060006,13449.488594552573,189305.48178291097,0.071046482478389
Fayette,07080102,45028.73874626857,189305.48178291097,0.23786283588927437
Floyd,07080102,706.1028878428848,129786.73677611926,0.005440485718204818
Floyd,07080201,54479.20892440839,129786.73677611926,0.4197594475187742
Floyd,07080202,72882.15860868635,129786.73677611926,0.5615532096658482
Floyd,07080203,1719.266355181979,129786.73677611926,0.013246857097175463
Franklin,07080202,110.87591784814896,150731.88258902915,0.0007355837129059976
Franklin,07080204,100554.96345524848,150731.88258902915,0.6671114413757562
Franklin,07080205,20036.977921196936,150731.88258902915,0.13293125234710831
Franklin,07080207,30029.06529473558,150731.88258902915,0.19922172256422951
Fremont,10240001,33237.00240384852,133853.39276020933,0.24830900224838307
Fremont,10240002,42444.65221682977,133853.39276020933,0.3170980678305773
Fremont,10240003,29509.93030127094,133853.39276020933,0.22046456718610252
Fremont,10240004,25279.91411791657,133853.39276020933,0.18886270715008385
Fremont,10240005,3381.8937203436776,133853.39276020933,0.025265655584854288
Greene,07100004,14030.575696169692,147885.06480748998,0.09487486592668472
Greene,07100006,114774.7730140784,147885.06480748998,0.7761079400647182
Greene,07100007,19079.716097241726,147885.06480748998,0.129017194008596
Grundy,07080205,118429.29702920576,129873.12395652954,0.9118845641138639
Grundy,07080207,10302.623128650246,129873.12395652954,0.07932836921747326
Grundy,07080208,1141.2037986739804,129873.12395652954,0.008787066668666245
Guthrie,07100006,3081.2059704099224,153520.9118245404,0.02007026882390748
Guthrie,07100007,124308.15239390807,153520.9118245404,0.809714786842722
Guthrie,07100008,16521.728696193462,153520.9118245404,0.10761875043496487
Guthrie,10240003,9609.824764028746,153520.9118245404,0.0625961938984042
Hamilton,07080105,78300.53159120158,149460.05854048434,0.5238893411111054
Hamilton,07080207,20108.444121630986,149460.05854048434,0.13454058775297614
Hamilton,07100004,5014.439612241176,149460.05854048434,0.03355036563753862
Hamilton,07100005,46036.64321541092,149460.05854048434,0.308019705498382
Hancock,07080203,10994.68589007278,148333.67938065625,0.07412130499276595
Hancock,07080204,1304.0620545601246,148333.67938065625,0.008791409071796971
Hancock,07080207,80152.04846931354,148333.67938065625,0.5403496279737393
Hancock,07100003,12668.484043753886,148333.67938065625,0.08540531116499726
Hancock,07100005,43214.398922955785,148333.67938065625,0.2913323467966995
Hardin,07080105,2562.790035406267,147512.52573034982,0.017373372347315102
Hardin,07080205,10554.214751498219,147512.52573034982,0.07154792245094582
Hardin,07080207,134395.52094344544,147512.52573034982,0.9110787052017398
Harrison,10230001,35412.40335396229,181424.7960881643,0.19519053689195526
Harrison,10230003,3271.775578585778,181424.7960881643,0.018033783965207502
Harrison,10230004,2914.173835862,181424.7960881643,0.01606270972158537
Harrison,10230006,35343.99217428956,181424.7960881643,0.1948134595511077
Harrison,10230007,101687.25981367356,181424.7960881643,0.5604926228731056
Harrison,10240001,2795.191331790815,181424.7960881643,0.015406886997036932
Henry,07080104,1784.3986734506962,113012.39865418604,0.01578940624834354
Henry,07080107,111219.642214694,113012.39865418604,0.9841366393347883
Henry,07080209,8.357766041311889,113012.39865418604,7.395441686789039e-05
Howard,07060002,36494.38848822259,122616.7018140604,0.2976298330350115
Howard,07060004,61970.477939348675,122616.7018140604,0.5053999742492058
Howard,07080102,24151.83538648913,122616.7018140604,0.19697019271578262
Humboldt,07100002,31169.733778205013,112769.18614112442,0.27640293279405076
Humboldt,07100003,43497.606095971845,112769.18614112442,0.38572244408625056
Humboldt,07100004,16210.08827386297,112769.18614112442,0.14374572370839794
Humboldt,07100005,21891.75799308464,112769.18614112442,0.19412889941130118
Ida,10230001,16905.034580506745,111890.59462244561,0.15108539406327848
Ida,10230003,19675.91954007431,111890.59462244561,0.17584962888495773
Ida,10230005,73547.00575257426,111890.59462244561,0.6573117785346052
Ida,10230007,1762.6347492901918,111890.59462244561,0.015753198517157594
Iowa,07080208,57915.728843241144,152035.1765737138,0.3809363737290158
Iowa,07080209,94119.44773047265,152035.1765737138,0.6190636262709841
Jackson,07060005,54390.329835363045,168261.98030979699,0.3232478884131865
Jackson,07060006,113871.65047443347,168261.98030979699,0.6767521115868107
Jasper,07080105,108830.43194301565,189605.41539921035,0.5739837742180274
Jasper,07080106,60147.28335647571,189605.41539921035,0.317223446544693
Jasper,07080208,2291.6096694506014,189605.41539921035,0.012086203680552392
Jasper,07100008,18336.09043026882,189605.41539921035,0.09670657555672951
Jefferson,07080105,228.30776864535474,113085.40848499315,0.002018896794060323
Jefferson,07080107,103496.27964274382,113085.40848499315,0.9152045434445077
