CountyName,Year,loading_kgha,loading_kgha_fullarea,load_kg,flow_mm,months_available,mean_coverage_frac,min_coverage_frac,county_area_ha,FWMC_mgL,complete_year,load_tonnes
Adair,2000,1.0666882382273764,0.8415904955768839,124244.85723416426,50.188506854245816,12,0.7706709974948492,0.32288204601743775,147631.01281104452,2.1253635644614466,True,124.24485723416426
Adair,2001,10.398205988708172,9.452958228591575,1395549.7973474711,223.3966050596249,12,0.7910033518901557,0.32288204601743775,147631.01281104452,4.654594453632308,True,1395.5497973474712
Adair,2002,1.8779807901683037,1.467315399607655,216621.2585573206,59.98161632061626,12,0.7590151314717777,0.5411570217180235,147631.01281104452,3.130927283002915,True,216.6212585573206
Adair,2003,4.2573894994136205,3.806794608850391,562000.9436682074,87.69033687517697,12,0.7750092416809667,0.33605487261259626,147631.01281104452,4.855026963203269,True,562.0009436682074
Adair,2004,8.18592886625254,7.54857018846322,1114403.0621980827,180.05372870686355,12,0.8743725056094279,0.7205458937803576,147631.01281104452,4.546381196903532,True,1114.4030621980826
Adair,2005,5.339194160294858,4.7838224046188165,706240.5467020422,130.52870375135558,12,0.8230969683330712,0.7205458937803576,147631.01281104452,4.090436821057765,True,706.2405467020423
Adair,2006,2.3607926791722775,2.023563845023191,298740.7799285852,66.00101326761953,12,0.7889132768154999,0.7205458937803576,147631.01281104452,3.5769036902506097,True,298.7407799285852
Adair,2007,20.29423300842035,18.541607292476918,2737316.2637330163,391.289456020309,12,0.8765152786963525,0.33605487261259626,147631.01281104452,5.186501372878042,True,2737.3162637330165
Adair,2008,14.276180177304058,13.1814641044994,1945992.8960796744,479.1555561957065,9,0.8829268183115891,0.5411570217180235,147631.01281104452,2.9794458172729796,False,1945.9928960796744
Adair,2009,7.473995442074747,6.858965673867424,1012596.0492692362,231.93492761738767,9,0.9028589152074039,0.7205458937803576,147631.01281104452,3.22245360750678,False,1012.5960492692361
Adair,2010,20.332548818294992,18.820784020534436,2778531.406849421,576.7850598231842,12,0.9256480428857848,0.9256480428857848,147631.01281104452,3.525151782629047,True,2778.5314068494213
Adair,2011,10.812741887494767,10.000109496542644,1476326.293195935,278.1684903171847,12,0.9085561971269992,0.7205458937803576,147631.01281104452,3.887119592576937,True,1476.326293195935
Adair,2012,4.2123025694479255,3.878202199153067,572542.9185469876,115.56440321349085,12,0.8550851887514493,0.7205458937803576,147631.01281104452,3.644982756209298,True,572.5429185469876
Adair,2013,11.478463624569308,10.598561289823548,1564676.337556581,186.53223546399184,12,0.8401888140918569,0.7205458937803576,147631.01281104452,6.15360856852279,True,1564.676337556581
Adair,2014,14.59769230450072,13.484365998953509,1990710.6095403188,399.26408218451553,12,0.9085561971269992,0.7205458937803576,147631.01281104452,3.6561496402660523,True,1990.7106095403187
